v,f(v)
100000000,1.0052022241416768961047448081202677056711131299513E-20
110000000,1.2162946077831652518075604100298563105524081531393E-20
120000000,1.4474910041909616488075438868387875019989717990957E-20
130000000,1.6987914092281297513310467563947790341439132093875E-20
140000000,1.9701958187577336019531988749325906818733402690449E-20
150000000,2.2617042286428376215979084370295220947518546551917E-20
160000000,2.5733166347465066095378619755573504792620913766680E-20
170000000,2.9050330329318057433945243616307081093583041022356E-20
180000000,3.2568534190618005791381388045518996653339989770038E-20
190000000,3.6287777889995570510877268517521594010036153573597E-20
200000000,4.0208061386081414719110883887293481391982584405519E-20
210000000,4.4329384637506205326248016389820900955754827151755E-20
220000000,4.8651747602900613025942231639403495307431284806234E-20
230000000,5.3175150240895312295334878628924472306972149756947E-20
240000000,5.7899592510120981395055089729085168155738882441425E-20
250000000,6.2825074369208302369219780687604008767154300814365E-20
260000000,6.7951595776787961045433650628379869420503268110503E-20
270000000,7.3279156691490647034789182050619832697874006491635E-20
280000000,7.8807757071947053731866640827931344704240070127026E-20
290000000,8.4537396876787878314734076207378769570682994501928E-20
300000000,9.0468076064643821744947320808504342240755632985437E-20
310000000,9.6599794594145588767549990622313519539986227764685E-20
320000000,1.0293255242392388791107348501022472952852322747255E-19
330000000,1.0946634951260943148753698670298351913692086312847E-19
340000000,1.1620118581883293559244746179954110008506555624642E-19
350000000,1.2313706130122512010479965976589729308424313282413E-19
360000000,1.3027397591841670868707611343390787032234689616178E-19
370000000,1.3761192962903842878524713900005629623222661075039E-19
380000000,1.4515092239172101162877083602418986654317838274360E-19
390000000,1.5289095416509519223059308742822024561557549582478E-19
400000000,1.6083202490779170938714755949478840205864024819076E-19
410000000,1.6897413457844130567835570186589394263135679162863E-19
420000000,1.7731728313567472746762674754148884442652501684514E-19
430000000,1.8586147053812272490185771287803558533795554513372E-19
440000000,1.9460669674441605191143339758702967281080583409899E-19
450000000,2.0355296171318546621022638473348657087505743324715E-19
460000000,2.1270026540306172929559704073439302546213445993458E-19
470000000,2.2204860777267560644839351535712278800466330068528E-19
480000000,2.3159798878065786673295174171781673731937357962315E-19
490000000,2.4134840838563928299709543627972739977314046605232E-19
500000000,2.5129986654625063187213609885152786773216832986189E-19
510000000,2.6145236322112269377287301258558511629431578965434E-19
520000000,2.7180589836888625289759324397619771830456223054202E-19
530000000,2.8236047194817209722807164285779795765361578548943E-19
540000000,2.9311608391761101852957084240311834085966286576911E-19
550000000,3.0407273423583381235084125912132250693325927710457E-19
560000000,3.1523042286147127802412109285610053552536293267226E-19
570000000,3.2658914975315421866513632678372865335850828260525E-19
580000000,3.3814891486951344117310072741109333894112245092436E-19
590000000,3.4990971816917975623071584457367982556498311920865E-19
600000000,3.6187155961078397830417101143352500258581827525740E-19
610000000,3.7403443915295692564314334447713471498704783020154E-19
620000000,3.8639835675432942028079774351336546122666711509530E-19
630000000,3.9896331237353228803378689167127048936727244375269E-19
640000000,4.1172930596919635850225125539791029148922861420343E-19
650000000,4.2469633749995246506981908445612749638697858863361E-19
660000000,4.3786440692443144490360641192228616054849524914846E-19
670000000,4.5123351420126413895421705418397545741787540171517E-19
680000000,4.6480365928908139195574261093767776494107600700700E-19
690000000,4.7857484214651405242576246518640115139479276461412E-19
700000000,4.9254706273219297266534378323727625949848104265575E-19
710000000,5.0672032100474900875904151469911758880951925725397E-19
720000000,5.2109461692281302057489839247994917640151475455093E-19
730000000,5.3566995044501587176444493278449467582575226380344E-19
740000000,5.5044632152998842976269943511163183435578494285238E-19
750000000,5.6542373013636156578816798225181136851516814895869E-19
760000000,5.8060217622276615484284444028444023788833593180730E-19
770000000,5.9598165974783307571221045857522931721462037988900E-19
780000000,6.1156218067019321096523546977350546676541379945351E-19
790000000,6.2734373894847744695437668980948800100447390521445E-19
800000000,6.4332633454131667381557911789152955553137199193844E-19
810000000,6.5950996740734178546827553650332135230808422453003E-19
820000000,6.7589463750518367961538651140106286316872603001017E-19
830000000,6.9248034479347325774332039161059587161242982848207E-19
840000000,7.0926708923084142512197330942450293287936595134329E-19
850000000,7.2625487077591909080472918039917023230990699099617E-19
860000000,7.4344368938733716762845970335181484198693563003481E-19
870000000,7.6083354502372657221352436035747637566129592581180E-19
880000000,7.7842443764371822496377041674597304196038825001542E-19
890000000,7.9621636720594305006653292109882209587990787386529E-19
900000000,8.1420933366903197549263470524612468855872731419733E-19
910000000,8.3240333699161593299638638426341511533692254019977E-19
920000000,8.5079837713232585811558635646847446209694302869941E-19
930000000,8.6939445404979269017152080341810864988792586673003E-19
940000000,8.8819156770264737226896368990489087783315391189866E-19
950000000,9.0718971804952085129617676395386846432065807128711E-19
960000000,9.2638890504904407792490955681923408647696388545737E-19
970000000,9.4578912865984800661039938298096141792398235803169E-19
980000000,9.6539038884056359559137134014140516481904523285633E-19
990000000,9.8519268554982180689003830922186550017808474309386E-19
1000000000,1.0051960187462536063121009543591168964819579622012E-18
1010000000,1.0254003883884899634467477229019013565659157728382E-18
1020000000,1.0458057944351618516666548454073860427922166367622E-18
1030000000,1.0664122368449002481279863356375853045058851460466E-18
1040000000,1.0872197155763361337703939905557471037736155567554E-18
1050000000,1.1082282305881004933170173903227038394058203313304E-18
1060000000,1.1294377818388243152744838982931875692618237427157E-18
1070000000,1.1508483692871385919329086610121096308382007794580E-18
1080000000,1.1724599928916743193658946082108046601402612312000E-18
1090000000,1.1942726526110624974305324528032390088366792658110E-18
1100000000,1.2162863484039341297674006908821835596972684318443E-18
1110000000,1.2385010802289202238005656017153509403139022770805E-18
1120000000,1.2609168480446517907375812477414971351045806177962E-18
1130000000,1.2835336518097598455694894745664874956006416221609E-18
1140000000,1.3063514914828754070708199109593271490171197348325E-18
1150000000,1.3293703670226294977995899688481558051062495919179E-18
1160000000,1.3525902783876531440973048433162069612941160034631E-18
1170000000,1.3760112255365773760889575125977315061004501398677E-18
1180000000,1.3996332084280332276830287380738857208415719668317E-18
1190000000,1.4234562270206517365714870642685836796164790923920E-18
