t,f(t)
0.01,2.6510258015995777124470246842222320618928823748200E-677711
50,6.8137779103323009391274141769570967592506267719762E-143
100,4.0159014841369128481452251961162125397931351934865E-75
150,1.5628408072350482777116818519784376780197422230497E-52
200,3.0830501459647060036594661292034672111172581711472E-41
250,1.8451007961419732898764761962880277873728718218817E-34
300,6.0820002642172059100284478728000835160010678698789E-30
350,1.0261435153229212223466783933564916973840903369437E-26
400,2.7013406734820362293427231108987576860758382629566E-24
450,2.0610585631870769383444743467336086034026312114558E-22
500,6.6084424387107084812227444037898251413135038510339E-21
550,1.1279454921551561668759500326435742023444805925734E-19
600,1.1998094569607151087893334828990480300867103887715E-18
650,8.8708145408059147615441048136236870327677944794052E-18
700,4.9282543734735373713979001840665861836508490207193E-17
750,2.1783389167319871011035369336819874820269729281834E-16
800,7.9961097015031191433035394313341944848136386260694E-16
850,2.5187813872548225590491532418215451609002142525450E-15
900,6.9844826400827240893218253310148310996627950246916E-15
950,1.7396118654520584248751671423815848553284724427929E-14
1000,3.9549290037655649350692856712646909488745941935599E-14
1050,8.3148599523319057033694803495161052097208913723451E-14
1100,1.6339298980475587772113378790227623247342714685936E-13
1150,3.0276164038490166762172674435696278359188189477056E-13
1200,5.3290056608949521891539598010413493632910111455052E-13
1250,8.9649560674487574024694960075446160420843162139522E-13
1300,1.4490169710221444949355030838454755037229417465729E-12
1350,2.2602319469831024297138609597880328462547194384874E-12
1400,3.4154024698304333979147960003592460550587779265919E-12
1450,5.0161091779356524356572717894678470828620636695762E-12
1500,7.1806699234582397544371488628658830779661249640660E-12
1550,1.0044145674533028139244523152694189608173193605279E-11
1600,1.3757948451734977580410130928119544059510841721193E-11
1650,1.8489083309201109456962336897005497226175234016227E-11
1700,2.4419069019585880297340133002389072309744211430780E-11
1750,3.1742590187514912687781481747533474507861517963634E-11
1800,4.0665937474972340930674247483203670694977991258824E-11
1850,5.1405293140220843173561629541554458041191272542137E-11
1900,6.4184916907033180923542578421330979385831347432535E-11
1950,7.9235283018662904533673356227196196121466975023146E-11
2000,9.6791213851035854941742993019121130115390541108077E-11
2050,1.1709004922745904291863640059159297355915958526719E-10
2100,1.4036988405236689400419405030336355537886571348947E-10
2150,1.6686790041929754444975958896523335689728233558968E-10
2200,1.9681881420752475547083490590979234517393003739752E-10
2250,2.3045345053846743404815418050468224330148480170304E-10
