t,f(t)
0.01,2.6510258015995777124470246842222320618928823748200E-677711
1,2.1610782134359882422389515585616707375518066288291E-6784
2,7.1519473050297538017983789798313076109747873003384E-3396
3,2.2961957718254775418826037825826890205878575850479E-2266
4,1.3010716577037338125468785505528549802723284479951E-1701
5,9.2528729394000131662468155938124679943901181267823E-1363
6,7.3721390799974100293408144043692280723118263731385E-1137
7,1.6814231988126353901939878713045332820876536811917E-975
8,1.7548486729153312636431293834237804515573391630772E-854
9,2.3430868617533210492674343564871553283943376373646E-760
10,4.6798007495266269016466138170770802724740348701522E-685
11,1.9040459815055659213992476755815649785408640898871E-623
12,4.1772053286246210830441080505254366510349062709261E-572
13,1.1573021761572465662521598187280241895116290287027E-528
14,1.9949296307940215735455607859949994437296663898377E-491
15,3.7285870256879935346320611898497688086081924858454E-459
16,6.4447919074546851274339959614890255827076446602594E-431
17,5.3063430632352128925714315242171837692493573166739E-406
18,7.4470326483896928684635497754125193578365183031541E-384
19,4.8740305944043432388636400743202186691978127971339E-364
20,3.3281488733296967116930037038091014504426368534888E-346
21,4.5499968527682360114082689720919511499589008715774E-330
22,2.1228914086864379957987696780878077867794694042591E-315
23,5.2515377320522897797746571238107407679885500790542E-302
24,9.9433327937626779282750306081822845282475274768703E-290
25,1.9615429466179212207045436770295879947907344894671E-278
26,5.2337436657597527439753346647604548139151938984359E-268
27,2.3589290614488134717467970713968143913842577311444E-258
28,2.1729656139731939620460563097048443690757180218906E-249
29,4.8212607688980940857560700583583753098435794319581E-241
30,2.9707164796567664601540793761044388189509122936107E-233
31,5.7544054809863577729998113449469327094374816697908E-226
32,3.9056517183836084599876956339512604172163214639789E-219
33,1.0217498012696331597275711417368359150287922698556E-212
34,1.1206931711044297647908880991060132093713379492120E-206
35,5.5523637285577000645219602923835264371523317952538E-201
36,1.3276411117775265999830661489299178219748690227304E-195
37,1.6253548463982432952286132810509306192166659070895E-190
38,1.0740714899700079085401172574066413277106468711416E-185
39,4.0173007064139377708921491664121752394095872178633E-181
40,8.8754511043220800579561910361192439272806669648032E-177
41,1.2037369696772121953304598511608970483063058965032E-172
42,1.0377544671568619902614430068176180200290565105324E-168
43,5.8695956155314220650403388378577920361999679401067E-165
44,2.2415733421573269110967260720023773541004950287171E-161
45,5.9333528923147841133264664265591227070559334560514E-158
46,1.1148907404645956809398609623254561459358820169273E-154
47,1.5200160614194045788363715971834712300202318180193E-151
48,1.5341048782840236246934829653252731490274187427351E-148
49,1.1674798655665273313820687358206149980635283921043E-145
50,6.8137779103323009391274141769570967592506267719762E-143
51,3.0977796751952207088443445837599851170179259792127E-140
52,1.1130003157737259828566948572083745014446649080770E-137
53,3.2026403521765804694511628826738136345740100876992E-135
54,7.4721658675029821476496513824025851626154963300700E-133
55,1.4298088730764933280188772868872324251001945232058E-130
56,2.2678560796974131666270596005440348854596938912795E-128
57,3.0112593963775037406444497191397455677233082408691E-126
58,3.3780756753524770483821731223168307355580182056357E-124
59,3.2292504302046432206068037116137728239602145893185E-122
60,2.6516711656816693336913065292165284627111205203139E-120
61,1.8843857215286348148297895421834493081548136218163E-118
62,1.1670495456750785494173266515611094181407403626841E-116
63,6.3404845694223088313054163090624491557386222961127E-115
64,3.0404356765448707440624206164801674186602660660179E-113
65,1.2942907739064850565964060161314641510658439183587E-111
66,4.9176922197848274325464985198881058533398652788103E-110
67,1.6762343231607959368015911943207938944719146620378E-108
68,5.1502988044751021053061363774040108415389413474079E-107
69,1.4328946064298695574789435031324322632551332714449E-105
70,3.6251669975199061787491351421908061297966553397926E-104
71,8.3737011222087930556795478251780381684224269679283E-103
72,1.7726761823636659405581735223808286012448622796968E-101
73,3.4516002191089781382168862780631648299069583972541E-100
74,6.2024483821110485650814759830846159892420496368707E-99
75,1.0319326610638929476797242623513237005654607397691E-97
76,1.5944307364879564528240090049653175862571522853005E-96
77,2.2944469857366555725058570409790770935930167159832E-95
78,3.0835871980771071255044438100386094529210343800358E-94
79,3.8803232279738625187476825014227166084265318715311E-93
80,4.5833632826802077380910464418802509493528080087160E-92
81,5.0935868011546452281000261414092516082453240147082E-91
82,5.3377086258894826383817151150227901362890342426876E-90
83,5.2856660583734532204980174234378424048231562448806E-89
84,4.9560578739894766635016893508872842712858061282202E-88
85,4.4086088316176812110767397579567687300960477375135E-87
86,3.7272897433417508954735481462257473104744737386499E-86
87,3.0003525727345287274945998409103795218724261847153E-85
88,2.3033797262797523037153582127526128158989819072270E-84
89,1.6891445060932810173724511442335638699156232422254E-83
90,1.1850567627647767449838429781992211973938119082751E-82
91,7.9655635052739927874285212463547597703905948121711E-82
92,5.1369485697594048226776757975794941579349120775027E-81
93,3.1826257447153115287168989236288119441351519135044E-80
94,1.8967633607350428005678266120377293168348828707817E-79
95,1.0887299036113539507888700486441969620950198142361E-78
96,6.0258260266710324119975497341952417710047047469301E-78
97,3.2195223928047140526160531379062254912800170658107E-77
98,1.6623166816403964964864638329104916218521451337448E-76
99,8.3029726083469988401173507854857373425507331730295E-76
100,4.0159014841369128481452251961162125397931351934865E-75
101,1.8826823929439717674086939769945992176465461108266E-74
102,8.5627709380932766993803558919749388509850975757886E-74
103,3.7816214493777373042320336854296122102355709473449E-73
104,1.6230679693108050354659403711621483672520802822952E-72
105,6.7755525930631878388471455907188457395567928612411E-72
106,2.7532341584580231595642701161866850118169819831246E-71
107,1.0898338638468519019031880636994541673364196374334E-70
108,4.2054484646625343389715573043238764949003769612485E-70
109,1.5830832170585717164186595105653180791930826061356E-69
110,5.8173883564971828815433942730165991893345702729807E-69
111,2.0881810393613386842733482322185787230149438119730E-68
112,7.3265042957371851488430429594674203908456398646716E-68
113,2.5140688915694446160440787946410196572866486216200E-67
114,8.4423460048502095533114326115698094154657492710765E-67
115,2.7758743219669378941237554893757782030402894546980E-66
116,8.9417752673158171416031539738464948326077736520864E-66
117,2.8233422785104312812482116350083757300491992541906E-65
118,8.7425862686217869717912450962944521291317911487304E-65
119,2.6562337950524783433702147901254412158819567618080E-64
120,7.9222564445017565345079510022435625877066386547115E-64
