t,f(t)
452,2.4028567955144710308597597705639612506248165385671E-22
456,3.2527402367365350277639447788563570624796330229747E-22
460,4.3800951508097891128273704960741516653337263976761E-22
464,5.8679922658117507029136699125563218678745582192425E-22
468,7.8221200680904276741016030416268590361408388329804E-22
472,1.0376325257280771364279362097242872383164618506350E-21
476,1.3699356565192548478520642818197926960114789096662E-21
480,1.8003038872645901239352406559108526239940714896484E-21
484,2.3552140516766745521389982144692752587412114252114E-21
488,3.0676237152577562655512065780907133237824691379264E-21
492,3.9783920907658871592572333462126605831256525182601E-21
496,5.1379754249791316574258898437107365870207107653859E-21
500,6.6084424387107084812227444037898251413135038510339E-21
504,8.4658616557989669224112228524128022227396300099191E-21
508,1.0803119366805505396079934380136954911974251712894E-20
512,1.3733234582014402278801961125037944901075197869097E-20
516,1.7393245678523583987778665878689445762111211374780E-20
520,2.1948752579795470728143148383504914874856473038021E-20
524,2.7599208264238891605704552144511167167486607501608E-20
528,3.4584064222335995628689982599248587637233860878310E-20
532,4.3189886208108585230572458486243784125250072404341E-20
536,5.3758569297063629483394552589029745306161767249602E-20
540,6.6696794903643095782585961905486334472856493826892E-20
544,8.2486887058479978045175942832476273128244547942039E-20
548,1.0169924092828727140727901626059332158662231244060E-19
552,1.2500651330447843465807714481239610255323354533100E-19
556,1.5319978261242437462534484518809025689246499507288E-19
560,1.8720690491933079568737136337666356899656112056413E-19
564,2.2811331245843631761051789835907462257433221964237E-19
568,2.7718552234927762762668045501046929449871856290209E-19
572,3.3589764548188234018590709389330342042498701114934E-19
576,4.0596120894546773237310248407788924948857342154432E-19
580,4.8935862991265010729989875371810118981869213729488E-19
584,5.8838070452578963450544169549100003019259852802724E-19
588,7.0566850205461168716967047899684928771720755979138E-19
592,8.4426008237945277701553442729167182467377793645848E-19
596,1.0076424836721741824335194036825690249946229743750E-18
600,1.1998094569607151087893334828990480300867103887715E-18
604,1.4253254550310985031808126940681424989941630278206E-18
608,1.6893964147940901566000166854021636965427728703552E-18
612,1.9979479047682938367241984351466577187365235650761E-18
616,2.3577112426470023095982693639766416057177126974987E-18
620,2.7763182219566229780289908755082838188507661361314E-18
624,3.2624051215083809649672626057329769605643761178221E-18
628,3.8257267066153172842269271867677996192489775082652E-18
632,4.4772809668112514999647035587592746662520034250949E-18
636,5.2294453709804044884357422274480478132767222540791E-18
640,6.0961254572942467815736122935561112384813842752611E-18
644,7.0929166120600805959856837897908142841956069737182E-18
648,8.2372799284142217768010038481037325301648584280795E-18
652,9.5487330726382547441285497635645214003460470168998E-18
656,1.1049057122633410256864787249403945283863965862797E-17
660,1.2762520379646686799032900670384511779369266313603E-17
664,1.4716120190591659878693087338097381843254749025537E-17
668,1.6939843854133934619323690136814003243727052536733E-17
672,1.9466949719001460435059958605054296613822563413094E-17
676,2.2334269617618096261596271115142870334227162770999E-17
680,2.5582533812029097700453717945348307164245411926284E-17
684,2.9256719662073818620581342603863373339406357754010E-17
688,3.3406425257748586417748528348493201022229600374468E-17
692,3.8086269288577071582937398580471980444559607203911E-17
696,4.3356318452453573705612637082105498417125819631669E-17
700,4.9282543734735373713979001840665861836508490207193E-17
704,5.5937306915224817232052003263371740715434109960117E-17
708,6.3399878685993953615468286572154498901999296859728E-17
712,7.1756989786661318625306216335984141246018967850401E-17
716,8.1103416585632265828954286789398702956628668937664E-17
720,9.1542602555865434021437080018867393232881122376435E-17
724,1.0318731711183700823527041705896587716034046369705E-16
728,1.1616035329045445379483663986896636836956510053659E-16
732,1.3059526577264028674503287197590611721534002886407E-16
736,1.4663715075408722970825250933955253037719854243611E-16
740,1.6444346918320721735726267519807502140013046967929E-16
744,1.8418491489149220855273648517019987617519876855265E-16
748,2.0604632914631450927865819359479656301083897466689E-16
752,2.3022766315856419790339064401660188728396914500187E-16
756,2.5694499007740332288730168846806247806877850947312E-16
760,2.8643156800176915749261000341294542111857097409260E-16
764,3.1893895553304668750917965156565033527191151993081E-16
768,3.5473818138552489104800130531553112773222525004347E-16
772,3.9412096956082998324108634455740642308534199028100E-16
776,4.3740102157947593310901100233789637382492774978061E-16
780,4.8491535724697905706893105143045862189888592758201E-16
784,5.3702571541364672564914150744245711131294996389228E-16
788,5.9412001616617404354816498413628756940965639245176E-16
792,6.5661388586557705164144117883779433119944610616071E-16
796,7.2495224641977315411939401178717738959788925929578E-16
800,7.9961097015031191433035394313341944848136386260694E-16
804,8.8109860158139099865330310432792095527930919488148E-16
808,9.6995814744539773146630135472002709563870797124682E-16
812,1.0667689361628370878934344027048328287471508525913E-15
816,1.1721485480156882259792858126773321228976641072760E-15
820,1.2867548171920254829837838992602929342774296959967E-15
824,1.4112879068362029658221559063063128030561424223378E-15
828,1.5464924581930962649960890831590798428970466812764E-15
832,1.6931598148868869728863327036726924252281902509280E-15
836,1.8521303233247366549864162870015269525555482142609E-15
840,2.0242957101635020270138509738322378063423225007385E-15
844,2.2106015377234716521445142270154930349277706992425E-15
848,2.4120497381770395482259005396589205843000067161515E-15
852,2.6297012272823592113170426770308075863303220395593E-15
856,2.8646785983724324434023316991520029661424356987803E-15
860,3.1181688972488736658263656228458865465113434487484E-15
864,3.3914264785668473999555937363296895056498247515692E-15
868,3.6857759442335019668023177855270477299054479936600E-15
872,4.0026151642767159551725968455508246027418174337963E-15
876,4.3434183805742372085204003212643498192928728716049E-15
880,4.7097393937654301038287399700976014771902056365856E-15
884,5.1032148335989601353210356566759114017784317057405E-15
888,5.5255675128999406728622415401853717728457165331089E-15
892,5.9786098652694513859318497568094297354573923874465E-15
896,6.4642474665580178435064917116258723485062656870776E-15
900,6.9844826400827240893218253310148310996627950246916E-15
904,7.5414181454852214138951643758535769086087245248551E-15
908,8.1372609510551037163488669450815965896544385859719E-15
912,8.7743260892700489107232018428588220214515645170963E-15
916,9.4550405952308822238880893762592075466805834575468E-15
920,1.0181947527596405482179210464352501063145129100692E-14
924,1.0957710071549559998448935939130082837632744939585E-14
928,1.1785115723253351540391568828189430440483586427190E-14
932,1.2667080555182064670040966497886476098856511906079E-14
936,1.3606653561640729395177375996074819792356469695050E-14
940,1.4607021083713672615584673282159434094109396022744E-14
944,1.5671511312811385318481164372300672044086833540850E-14
948,1.6803598871913956754408857180758593666150686220773E-14
952,1.8006909473539059482527738876083326130936954417451E-14
956,1.9285224653393002356390778254920445639727834715527E-14
960,2.0642486578594787820003611909150145094175877530420E-14
964,2.2082802929295498229251728506031902806507124097301E-14
968,2.3610451852448773472499576465621916355951156532789E-14
972,2.5229886986422706248844743532335540567643164906361E-14
976,2.6945742555079246349396943712863767411464153359117E-14
980,2.8762838529884242543427685079314062629305226832781E-14
984,3.0686185858549628492315813849568677379364212216403E-14
988,3.2720991758649042667955903903513482136342735722286E-14
992,3.4872665074589423533920070138631236554966058948878E-14
996,3.7146821696263899042135763714623895371161006754062E-14
1000,3.9549290037655649350692856712646909488745941935599E-14
1004,4.2086116573608415864507635725335270694711364168755E-14
1008,4.4763571432927007250685482619485821403770415985928E-14
1012,4.7588154045920559715052384428569614427025003164277E-14
1016,5.0566598844452486996831041314350206500092018864588E-14
1020,5.3705881012514044424954285187220665006353222572578E-14
1024,5.7013222285293266905417844401447772767541979385847E-14
1028,6.0496096794667755561731762911175291828923321629801E-14
1032,6.4162236959008411407938779267644427638867783048036E-14
1036,6.8019639415141773196793371197145936559636761588455E-14
1040,7.2076570990281133616106280250273354937337135635820E-14
1044,7.6341574711701103368797049948407446397946208818844E-14
1048,8.0823475851896783382357578169873122076763679894657E-14
1052,8.5531388006937205469160081114558044189041821687911E-14
1056,9.0474719205693222276647798721263788659774457973343E-14
1060,9.5663178047592576520307322889365048206253174008847E-14
1064,1.0110677986652946265813335620885243492510709217144E-13
1068,1.0681585291853251396653929481213380219885336019783E-13
1072,1.1280104459077380435501973957189806066326284494803E-13
1076,1.1907332762948214454030126069984441109084975236099E-13
1080,1.2564400638430667118396953138337042336969030179378E-13
1084,1.3252472306666146761478179116716734823171256462196E-13
1088,1.3972746401956870576112357467375410311221935143071E-13
1092,1.4726456599650654856246416717009385850960567194249E-13
1096,1.5514872244675878584391765245625966337194487903610E-13
1100,1.6339298980475587772113378790227623247342714685936E-13
1104,1.7201079378089172929667223209225940872958935646394E-13
1108,1.8101593565129709798800863240356146850792448624974E-13
1112,1.9042259854404901768183044451122770202891274054705E-13
1116,2.0024535371929598763115913464837796940651805182915E-13
1120,2.1049916684078089247969173006012030474102109240168E-13
1124,2.2119940423624766526225274053038997518720674328505E-13
1128,2.3236183914422354839919660036370009451895068341807E-13
1132,2.4400265794467641782566913031277585824461596650954E-13
1136,2.5613846637105598034953687884196615209020585990109E-13
1140,2.6878629570123870069979700257355616616002277346726E-13
1144,2.8196360892490902788792459122778305606057974513329E-13
1148,2.9568830688492383470947462888538079556477392317094E-13
1152,3.0997873439022292266866690191753766970989077930136E-13
1156,3.2485368629786593955529595138259157102067958751928E-13
1160,3.4033241356179506969438626213374353539018716655303E-13
1164,3.5643462924594334806735984594490525242810740204910E-13
1168,3.7318051449933037887693327337323754427817622287333E-13
1172,3.9059072449081056584333810593498204691804011814421E-13
1176,4.0868639430116364413493877178572544364594197953932E-13
1180,4.2748914477024330039213193055971426637475354096707E-13
1184,4.4702108829692693539080458617903597913130783736843E-13
1188,4.6730483458963812072008616290245526525237419647488E-13
1192,4.8836349636524298331174365543569237834152102252415E-13
1196,5.1022069499415257639556110640881784411807532163100E-13
1200,5.3290056608949521891539598010413493632910111455052E-13
1204,5.5642776503825576394176019825342535857030851266246E-13
1208,5.8082747247231274640240091402272527429161502003838E-13
1212,6.0612539967733931774814359954140022303985017765853E-13
1216,6.3234779393756975623873536896763354356290569184860E-13
1220,6.5952144381447010272179149843570490161680116390077E-13
1224,6.8767368435738906957392415162087885226947984456049E-13
1228,7.1683240224430376154881607490171691101099512410767E-13
1232,7.4702604085081388853573598124247040691471505991461E-13
1236,7.7828360524557799885225722957654023115564938935846E-13
1240,8.1063466711042577517228170183967830446523775135700E-13
1244,8.4410936958342157137746751986800592946877342012494E-13
1248,8.7873843202319608576446746817991059777777192592114E-13
1252,9.1455315469290532282085593768029435358401328609084E-13
1256,9.5158542336221875134353305883066370570949869180110E-13
1260,9.8986771382578178065681105485537358129084060447479E-13
1264,1.0294330963366413092636864538909518365475321560682E-12
1268,1.0703152399531671121603829981456029829462208779469E-12
1272,1.1125484167980461855724715037768205834350237232367E-12
1276,1.1561675062279718229512375029315789911312010722732E-12
1280,1.2012079989126941162546006326591679082671759338495E-12
1284,1.2477060008221437250353416111089363362376890795511E-12
1288,1.2956982371203860965528031848736172407889496962857E-12
1292,1.3452220559652088175878963394825765436581272145024E-12
1296,1.3963154322121903981606203856406493095380065437121E-12
1300,1.4490169710221444949355030838454755037229417465729E-12
1304,1.5033659113708793445041515957898402137786914094577E-12
1308,1.5594021294602579614584753202404433423551857968365E-12
1312,1.6171661420295904314795060614081688030861308036219E-12
1316,1.6766991095664353646047439891232001870898460717137E-12
1320,1.7380428394159332382229967312063097796413080387512E-12
1324,1.8012397887878399237901538800726970886674843834924E-12
