Constantes:
 - h : 6.626e-024
 - v : 3.25e+014
 - c : 3.1e+008
 - k : 1.38e-023
 - v3 : 3.43281e+043
 - c2 : 9.61e+016
 - (hv^3/c^2) : 2366.89
 - (hv/k): 1.56047e+014
 - Inicia en: 0, termina en: 1

tabla 

t,expresion variable exp(hv/kt),f(t)
1e-304,inf,0
1e-305,inf,0
1e-306,inf,0
1e-307,inf,0
1e-308,inf,0
1e-309,inf,0
1e-310,inf,0
1e-311,inf,0
1e-312,inf,0
1e-313,inf,0
1e-314,inf,0
1e-315,inf,0
1e-316,inf,0
1e-317,inf,0
9.99999e-319,inf,0
9.99989e-320,inf,0
9.99989e-321,inf,0
9.98013e-322,inf,0
9.88131e-323,inf,0
9.88131e-324,inf,0


 --- Tiempo de ejecución: 0.755077
